Energy_keV Counts
-0.338 0
-0.125 0
0.087 0
0.300 0
0.513 0
0.725 750
0.938 586
1.150 385
1.363 240
1.576 159
1.788 69
2.001 46
2.214 18
2.426 8
2.639 4
2.852 0
3.064 0
3.277 1
3.490 1
3.702 0
3.915 3
4.128 2
4.340 2
4.553 4
4.766 7
4.978 5
5.191 6
5.404 11
5.616 12
5.829 12
6.042 19
6.254 24
6.467 20
6.680 27
6.892 32
7.105 30
7.318 48
7.530 41
7.743 49
7.956 46
8.168 58
8.381 80
8.594 59
8.806 55
9.019 69
9.232 78
9.444 97
9.657 94
9.870 112
10.082 107
10.295 140
10.508 120
10.720 134
10.933 111
11.146 103
11.358 87
11.571 86
11.784 68
11.996 68
12.209 83
12.422 99
12.634 88
12.847 110
13.060 126
13.272 120
13.485 117
13.698 118
13.910 112
14.123 111
14.336 79
14.548 82
14.761 73
14.974 64
15.186 56
15.399 71
15.611 63
15.824 74
16.037 96
16.249 104
16.462 105
16.675 144
16.887 171
17.100 182
17.313 161
17.525 181
17.738 181
17.951 140
18.163 142
18.376 132
18.589 168
18.801 215
19.014 280
19.227 385
19.439 546
19.652 705
19.865 842
20.077 933
20.290 958
20.503 943
20.715 806
20.928 632
21.141 492
21.353 382
21.566 309
21.779 264
21.991 214
22.204 242
22.417 229
22.629 235
22.842 258
23.055 246
23.267 214
23.480 182
23.693 140
23.905 141
24.118 93
24.331 50
24.543 66
24.756 66
24.969 54
25.181 57
25.394 35
25.607 43
25.819 44
26.032 41
26.245 39
26.457 46
26.670 40
26.883 29
27.095 23
27.308 21
27.521 36
27.733 22
27.946 16
28.159 18
28.371 19
28.584 11
28.797 10
29.009 21
29.222 19
29.435 14
29.647 16
29.860 17
30.072 17
30.285 18
30.498 22
30.710 25
30.923 21
31.136 16
31.348 20
31.561 20
31.774 16
31.986 13
32.199 22
32.412 13
32.624 15
32.837 12
33.050 31
33.262 24
33.475 15
33.688 13
33.900 19
34.113 19
34.326 29
34.538 16
34.751 16
34.964 12
35.176 16
35.389 19
35.602 22
35.814 30
36.027 24
36.240 31
36.452 33
36.665 25
36.878 35
37.090 33
37.303 49
37.516 33
37.728 33
37.941 45
38.154 42
38.366 51
38.579 50
38.792 56
39.004 55
39.217 62
39.430 61
39.642 73
39.855 64
40.068 64
40.280 107
40.493 100
40.706 98
40.918 117
41.131 111
41.344 114
41.556 119
41.769 107
41.982 132
42.194 151
42.407 149
42.620 140
42.832 166
43.045 157
43.258 197
43.470 186
43.683 186
43.895 223
44.108 217
44.321 194
44.533 214
44.746 207
44.959 211
45.171 217
45.384 239
45.597 233
45.809 234
46.022 257
46.235 234
46.447 260
46.660 262
46.873 283
47.085 289
47.298 315
47.511 351
47.723 346
47.936 375
48.149 404
48.361 457
48.574 511
48.787 514
48.999 621
49.212 667
49.425 738
49.637 794
49.850 824
50.063 923
50.275 933
50.488 1015
50.701 1040
50.913 1063
51.126 1102
51.339 1078
51.551 1108
51.764 1187
51.977 1074
52.189 1124
52.402 1147
52.615 1111
52.827 1103
53.040 1123
53.253 1160
53.465 1175
53.678 1048
53.891 1133
54.103 1148
54.316 1079
54.529 1065
54.741 1035
54.954 1059
55.167 1060
55.379 1005
55.592 1021
55.805 1018
56.017 894
56.230 909
56.443 871
56.655 833
56.868 795
57.081 740
57.293 728
57.506 708
57.719 672
57.931 650
58.144 651
58.356 781
58.569 870
58.782 1041
58.994 1115
59.207 1212
59.420 1163
59.632 1074
59.845 964
60.058 770
60.270 568
60.483 387
60.696 273
60.908 186
61.121 90
61.334 66
61.546 44
61.759 39
61.972 30
62.184 30
62.397 25
62.610 27
62.822 25
63.035 31
63.248 23
63.460 41
63.673 32
63.886 35
64.098 30
64.311 31
64.524 32
64.736 33
64.949 30
65.162 28
65.374 30
65.587 30
65.800 36
66.012 45
66.225 31
66.438 31
66.650 35
66.863 39
67.076 44
67.288 37
67.501 22
67.714 38
67.926 29
68.139 31
68.352 28
68.564 40
68.777 46
68.990 29
69.202 39
69.415 31
69.628 22
69.840 40
70.053 58
70.266 39
70.478 36
70.691 41
70.904 34
71.116 41
71.329 49
71.542 33
71.754 45
71.967 43
72.180 39
72.392 36
72.605 53
72.817 37
73.030 46
73.243 43
73.455 41
73.668 47
73.881 44
74.093 63
74.306 53
74.519 49
74.731 47
74.944 56
75.157 56
75.369 42
75.582 58
75.795 44
76.007 42
76.220 50
76.433 21
76.645 43
76.858 36
77.071 39
77.283 30
77.496 32
77.709 36
77.921 38
78.134 42
78.347 35
78.559 26
78.772 32
78.985 35
79.197 32
79.410 41
79.623 40
79.835 33
80.048 48
80.261 42
80.473 33
80.686 28
80.899 36
81.111 28
81.324 41
81.537 36
81.749 34
81.962 40
82.175 31
82.387 37
82.600 30
82.813 42
83.025 31
83.238 43
83.451 48
83.663 33
83.876 37
84.089 42
84.301 39
84.514 34
