Energy_keV Counts
-0.338 0
-0.125 0
0.087 0
0.300 0
0.513 0
0.725 819
0.938 637
1.150 478
1.363 299
1.576 181
1.788 98
2.001 40
2.214 22
2.426 12
2.639 1
2.852 3
3.064 1
3.277 1
3.490 3
3.702 2
3.915 5
4.128 1
4.340 4
4.553 3
4.766 12
4.978 6
5.191 7
5.404 13
5.616 16
5.829 12
6.042 20
6.254 33
6.467 34
6.680 34
6.892 39
7.105 46
7.318 58
7.530 69
7.743 69
7.956 60
8.168 66
8.381 70
8.594 80
8.806 53
9.019 73
9.232 71
9.444 58
9.657 70
9.870 75
10.082 82
10.295 81
10.508 73
10.720 74
10.933 76
11.146 74
11.358 85
11.571 75
11.784 77
11.996 104
12.209 96
12.422 100
12.634 119
12.847 135
13.060 161
13.272 149
13.485 146
13.698 146
13.910 152
14.123 184
14.336 183
14.548 153
14.761 187
14.974 149
15.186 190
15.399 168
15.611 179
15.824 162
16.037 200
16.249 183
16.462 201
16.675 224
16.887 231
17.100 208
17.313 212
17.525 221
17.738 176
17.951 184
18.163 160
18.376 147
18.589 116
18.801 121
19.014 91
19.227 95
19.439 105
19.652 83
19.865 99
20.077 102
20.290 80
20.503 82
20.715 76
20.928 79
21.141 90
21.353 66
21.566 60
21.779 61
21.991 54
22.204 39
22.417 45
22.629 55
22.842 83
23.055 76
23.267 134
23.480 183
23.693 268
23.905 440
24.118 660
24.331 963
24.543 1163
24.756 1465
24.969 1611
25.181 1682
25.394 1619
25.607 1503
25.819 1197
26.032 968
26.245 681
26.457 457
26.670 331
26.883 238
27.095 169
27.308 204
27.521 262
27.733 282
27.946 360
28.159 373
28.371 453
28.584 414
28.797 385
29.009 346
29.222 302
29.435 212
29.647 179
29.860 130
30.072 80
30.285 65
30.498 39
30.710 42
30.923 31
31.136 22
31.348 15
31.561 21
31.774 26
31.986 33
32.199 21
32.412 23
32.624 26
32.837 25
33.050 33
33.262 31
33.475 22
33.688 18
33.900 27
34.113 24
34.326 26
34.538 30
34.751 24
34.964 29
35.176 31
35.389 29
35.602 29
35.814 31
36.027 35
36.240 39
36.452 45
36.665 39
36.878 44
37.090 49
37.303 46
37.516 57
37.728 46
37.941 45
38.154 64
38.366 61
38.579 67
38.792 67
39.004 75
39.217 77
39.430 102
39.642 85
39.855 89
40.068 94
40.280 107
40.493 111
40.706 134
40.918 131
41.131 136
41.344 145
41.556 159
41.769 156
41.982 179
42.194 182
42.407 202
42.620 181
42.832 216
43.045 208
43.258 216
43.470 239
43.683 253
43.895 246
44.108 242
44.321 241
44.533 262
44.746 255
44.959 288
45.171 308
45.384 315
45.597 312
45.809 327
46.022 309
46.235 295
46.447 396
46.660 355
46.873 362
47.085 414
47.298 405
47.511 434
47.723 473
47.936 534
48.149 553
48.361 608
48.574 693
48.787 696
48.999 771
49.212 885
49.425 937
49.637 1037
49.850 1077
50.063 1150
50.275 1208
50.488 1247
50.701 1311
50.913 1419
51.126 1498
51.339 1443
51.551 1436
51.764 1542
51.977 1529
52.189 1478
52.402 1539
52.615 1556
52.827 1597
53.040 1546
53.253 1677
53.465 1582
53.678 1535
53.891 1479
54.103 1504
54.316 1450
54.529 1454
54.741 1566
54.954 1367
55.167 1415
55.379 1315
55.592 1347
55.805 1239
56.017 1283
56.230 1211
56.443 1070
56.655 1086
56.868 1022
57.081 995
57.293 906
57.506 888
57.719 863
57.931 899
58.144 918
58.356 1079
58.569 1247
58.782 1442
58.994 1528
59.207 1600
59.420 1596
59.632 1425
59.845 1206
60.058 949
60.270 736
60.483 509
60.696 332
60.908 192
61.121 130
61.334 83
61.546 70
61.759 48
61.972 39
62.184 33
62.397 47
62.610 45
62.822 58
63.035 45
63.248 59
63.460 35
63.673 45
63.886 38
64.098 32
64.311 50
64.524 48
64.736 51
64.949 53
65.162 48
65.374 50
65.587 52
65.800 52
66.012 37
66.225 39
66.438 45
66.650 53
66.863 44
67.076 60
67.288 53
67.501 48
67.714 48
67.926 54
68.139 44
68.352 27
68.564 44
68.777 52
68.990 42
69.202 47
69.415 42
69.628 37
69.840 52
70.053 50
70.266 57
70.478 63
70.691 39
70.904 47
71.116 48
71.329 59
71.542 47
71.754 48
71.967 65
72.180 61
72.392 78
72.605 53
72.817 64
73.030 56
73.243 51
73.455 64
73.668 66
73.881 59
74.093 68
74.306 67
74.519 67
74.731 73
74.944 71
75.157 57
75.369 56
75.582 79
75.795 53
76.007 54
76.220 62
76.433 46
76.645 57
76.858 59
77.071 47
77.283 49
77.496 40
77.709 44
77.921 43
78.134 53
78.347 40
78.559 40
78.772 59
78.985 49
79.197 51
79.410 58
79.623 61
79.835 47
80.048 36
80.261 43
80.473 44
80.686 50
80.899 31
81.111 38
81.324 45
81.537 49
81.749 41
81.962 51
82.175 47
82.387 50
82.600 55
82.813 54
83.025 49
83.238 53
83.451 64
83.663 52
83.876 63
84.089 65
84.301 72
84.514 58
